id,value
Application
Application#app_type, <class 'str'>
Application#archer_app_name, <class 'NoneType'>
Application#build, <class 'veracode.build.NewBuild'>
Application#build#analysis, <class 'veracode.build.Analysis'>
Application#build#analysis#engine_version, <class 'int'>
Application#build#analysis#published_date, <class 'datetime.date'>
Application#build#analysis#status, <class 'str'>
Application#build#analysis#type, <class 'str'>
Application#build#app_id, <class 'int'>
Application#build#grace_period_expired, <class 'bool'>
Application#build#id, <class 'int'>
Application#build#legacy_scan_engine, <class 'bool'>
Application#build#lifecycle_stage, <class 'str'>
Application#build#platform, <class 'str'>
Application#build#policy, <class 'veracode.build.Policy'>
Application#build#policy#compliance, <class 'str'>
Application#build#policy#name, <class 'str'>
Application#build#policy#updated_date, <class 'datetime.date'>
Application#build#policy#version, <class 'int'>
Application#build#report, <class 'veracode.build.Report'>
Application#build#report#account_id, <class 'int'>
Application#build#report#analysis_id, <class 'int'>
Application#build#report#app_id, <class 'int'>
Application#build#report#app_name, <class 'str'>
Application#build#report#assurance_level, <class 'int'>
Application#build#report#build_id, <class 'int'>
Application#build#report#business_criticality, <class 'int'>
Application#build#report#business_owner, <class 'str'>
Application#build#report#business_unit, <class 'str'>
Application#build#report#customfields, <class 'veracode.SDK.core.Struct'>
Application#build#report#customfields#customfield [0⋯n], <class 'list'>
Application#build#report#customfields#customfield [0⋯n]#name, <class 'str'>
Application#build#report#customfields#customfield [0⋯n]#value, <class 'str'>
Application#build#report#data, <class 'str'>
Application#build#report#first_build_submitted_date, <class 'datetime.date'>
Application#build#report#flaw_status, <class 'veracode.SDK.core.Struct'>
Application#build#report#flaw_status#cannot_reproduce, <class 'int'>
Application#build#report#flaw_status#fixed, <class 'int'>
Application#build#report#flaw_status#new, <class 'int'>
Application#build#report#flaw_status#not_mitigated, <class 'int'>
Application#build#report#flaw_status#open, <class 'int'>
Application#build#report#flaw_status#reopen, <class 'int'>
Application#build#report#flaw_status#sev_1_change, <class 'int'>
Application#build#report#flaw_status#sev_2_change, <class 'int'>
Application#build#report#flaw_status#sev_3_change, <class 'int'>
Application#build#report#flaw_status#sev_4_change, <class 'int'>
Application#build#report#flaw_status#sev_5_change, <class 'int'>
Application#build#report#flaw_status#total, <class 'int'>
Application#build#report#flaws [0⋯n], <class 'generator'>
Application#build#report#flaws [0⋯n]#affects_policy_compliance, <class 'bool'>
Application#build#report#flaws [0⋯n]#categoryid, <class 'int'>
Application#build#report#flaws [0⋯n]#categoryname, <class 'str'>
Application#build#report#flaws [0⋯n]#cia_impact, <class 'str'>
Application#build#report#flaws [0⋯n]#count, <class 'int'>
Application#build#report#flaws [0⋯n]#cweid, <class 'int'>
Application#build#report#flaws [0⋯n]#date_first_occurrence, <class 'datetime.date'>
Application#build#report#flaws [0⋯n]#description, <class 'str'>
Application#build#report#flaws [0⋯n]#exploitLevel, <class 'int'>
Application#build#report#flaws [0⋯n]#functionprototype, <class 'str'>
Application#build#report#flaws [0⋯n]#functionrelativelocation, <class 'int'>
